Name,Algorithm, Descending?, Runtime(s), n, SOL, OPT, SOL/OPT,KnownOptimalSOL,SOL/KOS, capacity, result_bins
TEST0022, next_fit, True,6.9e-05,33,9,8,1.125,15,0.6,10000,[[(0， 4812)， (1， 4783)]， [(2， 4778)， (3， 4769)]， [(4， 4738)， (5， 4199)]， [(6， 4122)， (7， 3959)]， [(8， 3787)， (9， 3534)]， [(10， 3412)， (11， 3326)， (12， 3168)]， [(13， 2649)， (14， 2317)， (15， 2156)， (16， 2067)]， [(17， 1912)， (18， 1897)， (19， 1762)， (20， 1594)， (21， 1574)]， [(22， 1492)， (23， 1308)， (24， 1274)， (25， 724)， (26， 511)， (27， 468)， (28， 246)， (29， 117)， (30， 63)， (31， 55)， (32， 26)]]
TEST0022, first_fit, True,0.000153,33,8,8,1.0,15,0.533333,10000,[[(0， 4812)， (1， 4783)， (28， 246)， (29， 117)， (32， 26)]， [(2， 4778)， (3， 4769)， (30， 63)， (31， 55)]， [(4， 4738)， (5， 4199)， (25， 724)]， [(6， 4122)， (7， 3959)， (17， 1912)]， [(8， 3787)， (9， 3534)， (13， 2649)]， [(10， 3412)， (11， 3326)， (12， 3168)]， [(14， 2317)， (15， 2156)， (16， 2067)， (18， 1897)， (22， 1492)]， [(19， 1762)， (20， 1594)， (21， 1574)， (23， 1308)， (24， 1274)， (26， 511)， (27， 468)]]
TEST0022, worst_fit, True,0.001366,33,8,8,1.0,15,0.533333,10000,[[(0， 4812)， (1， 4783)]， [(2， 4778)， (3， 4769)]， [(4， 4738)， (5， 4199)， (26， 511)， (30， 63)， (32， 26)]， [(6， 4122)， (7， 3959)， (18， 1897)]， [(8， 3787)， (9， 3534)， (13， 2649)]， [(10， 3412)， (11， 3326)， (12， 3168)]， [(14， 2317)， (15， 2156)， (16， 2067)， (17， 1912)， (25， 724)， (28， 246)， (29， 117)]， [(19， 1762)， (20， 1594)， (21， 1574)， (22， 1492)， (23， 1308)， (24， 1274)， (27， 468)， (31， 55)]]
TEST0022, almost_worst_fit, True,0.001872,33,9,8,1.125,15,0.6,10000,[[(0， 4812)， (1， 4783)]， [(2， 4778)， (4， 4738)]， [(3， 4769)， (6， 4122)， (27， 468)]， [(5， 4199)， (8， 3787)， (19， 1762)]， [(7， 3959)， (10， 3412)， (14， 2317)]， [(9， 3534)， (12， 3168)， (13， 2649)]， [(11， 3326)， (16， 2067)， (17， 1912)， (18， 1897)， (29， 117)， (31， 55)]， [(15， 2156)， (21， 1574)， (22， 1492)， (23， 1308)， (24， 1274)， (25， 724)， (26， 511)， (28， 246)， (30， 63)， (32， 26)]， [(20， 1594)]]
TEST0022, best_fit, True,0.00155,33,8,8,1.0,15,0.533333,10000,[[(0， 4812)， (1， 4783)， (29， 117)]， [(2， 4778)， (3， 4769)]， [(4， 4738)， (5， 4199)， (25， 724)， (28， 246)， (31， 55)]， [(6， 4122)， (7， 3959)， (17， 1912)]， [(8， 3787)， (9， 3534)， (13， 2649)， (32， 26)]， [(10， 3412)， (11， 3326)， (12， 3168)]， [(14， 2317)， (15， 2156)， (16， 2067)， (18， 1897)， (22， 1492)， (30， 63)]， [(19， 1762)， (20， 1594)， (21， 1574)， (23， 1308)， (24， 1274)， (26， 511)， (27， 468)]]
TEST0065, next_fit, True,8.1e-05,35,11,10,1.1,16,0.6875,10000,[[(0， 4823)， (1， 4717)]， [(2， 4607)， (3， 4549)]， [(4， 4455)， (5， 4281)]， [(6， 4239)， (7， 4124)]， [(8， 3799)， (9， 3772)]， [(10， 3724)， (11， 3474)]， [(12， 3155)， (13， 2907)， (14， 2773)]， [(15， 2750)， (16， 2711)， (17， 2606)]， [(18， 2381)， (19， 2324)， (20， 2258)， (21， 2233)]， [(22， 2229)， (23， 1923)， (24， 1917)， (25， 1742)， (26， 1377)]， [(27， 1336)， (28， 1163)， (29， 1141)， (30， 1044)， (31， 930)， (32， 443)， (33， 159)， (34， 3)]]
TEST0065, first_fit, True,0.000182,35,10,10,1.0,16,0.625,10000,[[(0， 4823)， (1， 4717)， (32， 443)， (34， 3)]， [(2， 4607)， (3， 4549)， (33， 159)]， [(4， 4455)， (5， 4281)， (28， 1163)]， [(6， 4239)， (7， 4124)， (26， 1377)]， [(8， 3799)， (9， 3772)， (18， 2381)]， [(10， 3724)， (11， 3474)， (14， 2773)]， [(12， 3155)， (13， 2907)， (15， 2750)， (29， 1141)]， [(16， 2711)， (17， 2606)， (19， 2324)， (20， 2258)]， [(21， 2233)， (22， 2229)， (23， 1923)， (24， 1917)， (27， 1336)]， [(25， 1742)， (30， 1044)， (31， 930)]]
TEST0065, worst_fit, True,0.001174,35,10,10,1.0,16,0.625,10000,[[(0， 4823)， (1， 4717)]， [(2， 4607)， (3， 4549)]， [(4， 4455)， (5， 4281)]， [(6， 4239)， (7， 4124)， (33， 159)， (34， 3)]， [(8， 3799)， (9， 3772)， (19， 2324)]， [(10， 3724)， (11， 3474)， (15， 2750)]， [(12， 3155)， (13， 2907)， (14， 2773)]， [(16， 2711)， (17， 2606)， (18， 2381)， (20， 2258)]， [(21， 2233)， (22， 2229)， (23， 1923)， (24， 1917)， (32， 443)]， [(25， 1742)， (26， 1377)， (27， 1336)， (28， 1163)， (29， 1141)， (30， 1044)， (31， 930)]]
TEST0065, almost_worst_fit, True,0.000859,35,11,10,1.1,16,0.6875,10000,[[(0， 4823)， (1， 4717)]， [(2， 4607)， (4， 4455)]， [(3， 4549)， (6， 4239)]， [(5， 4281)， (8， 3799)， (26， 1377)]， [(7， 4124)， (10， 3724)， (25， 1742)]， [(9， 3772)， (12， 3155)， (13， 2907)]， [(11， 3474)， (15， 2750)， (16， 2711)]， [(14， 2773)， (18， 2381)， (19， 2324)， (20， 2258)]， [(17， 2606)， (22， 2229)， (23， 1923)， (24， 1917)]， [(21， 2233)， (28， 1163)， (29， 1141)， (30， 1044)， (31， 930)， (32， 443)， (33， 159)， (34， 3)]， [(27， 1336)]]
TEST0065, best_fit, True,0.000875,35,10,10,1.0,16,0.625,10000,[[(0， 4823)， (1， 4717)， (32， 443)， (34， 3)]， [(2， 4607)， (3， 4549)]， [(4， 4455)， (5， 4281)， (29， 1141)]， [(6， 4239)， (7， 4124)， (26， 1377)， (33， 159)]， [(8， 3799)， (9， 3772)， (18， 2381)]， [(10， 3724)， (11， 3474)， (14， 2773)]， [(12， 3155)， (13， 2907)， (15， 2750)， (28， 1163)]， [(16， 2711)， (17， 2606)， (19， 2324)， (20， 2258)]， [(21， 2233)， (22， 2229)， (23， 1923)， (24， 1917)， (27， 1336)]， [(25， 1742)， (30， 1044)， (31， 930)]]
